,price,depreciation,registration_date,mileage,road_tax,deregistration_value,coe,engine_cap,curb_weight,manufactured_year,trasmission,omv,arf,power,number_of_owner,type,car_features,car_accessories,descriptions,warranty,category,status
10,"$58,800","$15,470",09-Apr-2016,"68,000 km (9.8k /yr)","$1,210 /yr","$29,425","$46,502","1,997 cc","1,626 kg",2016,Auto,"$22,509","$23,513",106.0 kW (142 bhp),2,SUV,Features Facelifted model with responsive 2.0L 4 cylinder inline DOHC engine with automatic X-Tronic CVT automatic gearbox transmission. Selectable 2WD/4WD. View specs of the Nissan X-Trail (2014-2021),"Accessories 360 camera, Panoramic roof, hill start assist, retractable rear seats, multi-function steering, intelligent forward collision warning and etc.",Description 1 English lady owner. Perfectly smooth engine & transmission gearbox. Perfectly silence chassis & under-carriage. 100% original factory paint. 100% loan available. This unit is confidence for vehicle evaluation at any centre of your choice. $0 driveaway low interest. High offer for your trade in. Flexible financing available.,"CategoryPARF Car, Low Mileage Car",StatusAvailable for sale. Shortlist this car to get alerted whenever the price or availability changes.,ResourcesSgcarmart Used Car WarrantyGet $0 future car repair bill. Ask your dealer for a warranty on this car. Learn moreCar Valuation - FreeFind out the market value of your existing car for free. Get startedVehicle EvaluationAfraid of lemons? Request to have this car evaluated professionally. Find out more
11,"$20,800","$27,620",27-Sep-2013,"92,000 km (9.7k /yr)",$624 /yr,"$10,566","$77,989","1,395 cc","1,300 kg",2013,Auto,"$26,142","$13,599",90.0 kW (120 bhp),2,Hatchback,Features 1.6 litres 4 cylinder TFSI turbocharged engine paired to a 7 speed auto S-tronic transmission. Comes with ABS and airbags. View specs of the Audi S3 Sportback (2009-2013),"Accessories Audi MMI system, leather seats, reverse sensors, rear aircon, multi functional steering, dual zone auto climate aircon. 19"" rims.",Description Well maintained. Service regularly. No smoking. New battery. In very good condition. New road tax. View to believe. No consigment please.,"CategoryPARF Car, Direct Owner Sale, Low Mileage Car",StatusAvailable for sale. Shortlist this car to get alerted whenever the price or availability changes.,ResourcesCar Valuation - FreeFind out the market value of your existing car for free. Get startedVehicle EvaluationAfraid of lemons? Request to have this car evaluated professionally. Find out more
12,"$178,000","$35,560",26-Mar-2008,"101,200 km (6.7k /yr)","$5,511 /yr","$22,524","$44,998","3,824 cc","1,515 kg",2007,Auto,"$113,447","$113,447",261.0 kW (350 bhp),5,Sports Car,Features View specs of the Porsche 911 (2008-2012),Accessories CarPlay and subwoofer.,"Description New road tax. Rare 4S model that has been well taken care of and maintained. Routinely cleaned, immaculate condition. Always parked under shelter. Low mileage. Confirm head turning unit! Beautiful dark brown interior. Trade in or consign your current vehicle. High in house loan and bank loan low interest financing available. WhatsApp/ Call now to arrange viewing!","CategoryCOE Car, Premium Ad Car, Low Mileage Car",StatusAvailable for sale. Shortlist this car to get alerted whenever the price or availability changes.,ResourcesSgcarmart Used Car WarrantyGet $0 future car repair bill. Ask your dealer for a warranty on this car. Learn moreVehicle EvaluationAfraid of lemons? Request to have this car evaluated professionally. Find out moreCar Valuation - FreeFind out the market value of your existing car for free. Get started
13,"$178,800","$22,140",30-Oct-2019,"55,125 km (16.2k /yr)","$1,210 /yr","$75,936","$41,001","1,998 cc","1,530 kg",2019,Auto,"$51,775","$65,195",135.0 kW (181 bhp),1,Luxury Sedan,Features 2.0L 4 cylinder in-line TwinPower turbo engine. 8 speed Steptronic (A) transmission. 181 Bhp. Aceleration 7.8s (0 to 100 km/h). Top speed 235km/h.,"Accessories iDrive with navigation, LCD speedometer, icon headlights, black leather interior, 360 degree sensors, blind spot monitor, auto tailgate.",Description Call now. For this meticulous condition. 5 year warranty 5 year free servicing with PML.,"CategoryPARF Car, Direct Owner Sale",StatusAvailable for sale. Shortlist this car to get alerted whenever the price or availability changes.,ResourcesCar Valuation - FreeFind out the market value of your existing car for free. Get startedVehicle EvaluationAfraid of lemons? Request to have this car evaluated professionally. Find out more
14,"$60,800","$14,230",19-Oct-2016,"105,000 km (16.3k /yr)",$742 /yr,"$30,843","$50,000","1,598 cc","1,215 kg",2016,Auto,"$19,990","$19,990",90.0 kW (120 bhp),2,Mid-Sized Sedan,"Features 1.6L 4 Cylinders Dual VVTI Engine, 120Bhp, CVT Automatic With Steptronic, ABS, Airbags, Auto Headlight/Rain Sensors, Keyless Entry View specs of the Toyota Corolla","Accessories Sport Rims, Leather Interior, Electric Seat, Touch Multi Player With Reverse Cam, Solar Films, Steering Controk, Power Windows, Electric Wind Mirrors","Description Full Agent Serviced Unit, SG Carmart 2023 Premium Dealer Award Winner! Buy with Confidence! Full loan Available, Lowest Bank & In-House Interest Rates, In House Warranty Provided, Perfect Car Condition With No Repairs Needed! All Vehicles Undergone Workshop 120 Point Inspection Check to be Certified Road Worthy. High Trade In Value!","CategoryPARF Car, Premium Ad Car",StatusAvailable for sale. Shortlist this car to get alerted whenever the price or availability changes.,ResourcesSgcarmart Used Car WarrantyGet $0 future car repair bill. Ask your dealer for a warranty on this car. Learn moreVehicle EvaluationAfraid of lemons? Request to have this car evaluated professionally. Find out moreCar Valuation - FreeFind out the market value of your existing car for free. Get started
15,"$75,800","$13,880",16-Nov-2017,N.A.,$684 /yr,"$35,187","$41,617","1,498 cc","1,558 kg",2017,Auto,"$25,458","$22,642",90.0 kW (120 bhp),1,Luxury Sedan,"Features 1.5L Inline 4 Cylinders Turbocharged Engine, 6 Speed Auto Transmission, ABS, SRS Airbags, TC, Paddle Shifters, Cruise Control. View specs of the Volvo S60 (2014-2019)",Accessories Electric/memory Seats. Bluetooth Interface. Reverse Sensors. Auto-fold Wing Mirrors. Multi Control Steering With Paddle Shifts. Fold-down Rear Seats.,"Description Careful Owner, Agent Maintained, Fuel Efficiency, Easy Financing, Flexible Loan Available, Accident Free, 6 Months Free Servicing By Reputable Workshop With 40 Years Experience In The Market For A Peace Of Mind, Call For Viewing/test Drive Now.",CategoryPARF Car,StatusAvailable for sale. Shortlist this car to get alerted whenever the price or availability changes.,ResourcesSgcarmart Used Car WarrantyGet $0 future car repair bill. Ask your dealer for a warranty on this car. Learn moreVehicle EvaluationAfraid of lemons? Request to have this car evaluated professionally. Find out moreCar Valuation - FreeFind out the market value of your existing car for free. Get started
16,"$177,800","$17,770",18-Aug-2014,"82,000 km (9.5k /yr)","$1,210 /yr",N.A.,N.A.,"1,997 cc","1,470 kg",2013,Auto,"$49,873","$56,823",180.0 kW (241 bhp),2,Sports Car,"Features 2.0L inline 4 cylinders turbocharged DOHC engine, 241bhp with 340nm of torque, 8 speed ZF transmission 2tb, rear wheel drive, keyless entry. View specs of the BMW 4 Series Coupe (2013-2020)","Accessories Original M-Sport With Sunroof Option, M-Sport steering, red leather interior. Bluetooth with navigation. Paddle shift.Drive Mode Selector.",Description Low owner count unit! Powerful 2.0L Coupe running on a turbocharged engine with output of 241Bhp! Rare M-Sport model with M-Sport Steering! A combination of black exterior on red leather interior with Sunroof Option! Very well maintained unit with low mileage! 2 years engine & gearbox warranty inclusive! A Great buy for a short term breeze! Trade ins are welcomed too! Contact us for a viewing now!,"CategoryCOE Car, Premium Ad Car, Low Mileage Car",StatusAvailable for sale. Shortlist this car to get alerted whenever the price or availability changes.,ResourcesSgcarmart Used Car WarrantyGet $0 future car repair bill. Ask your dealer for a warranty on this car. Learn moreCar Valuation - FreeFind out the market value of your existing car for free. Get startedVehicle EvaluationAfraid of lemons? Request to have this car evaluated professionally. Find out more
17,"$96,800","$21,950",08-Sep-2016,"108,000 km (16.5k /yr)",$740 /yr,"$46,559","$56,089","1,595 cc","1,475 kg",2016,Auto,"$39,138","$41,794",115.0 kW (154 bhp),4,Sports Car,"Features 4 cylinder inline turbocharged 1.6L engine produce 154Bhp, 7G-Tronic transmission. SRS airbags, ABS, electrical seats and memory seats, dynamic drive. View specs of the Mercedes-Benz C180","Accessories Keyless entry, push start/stop. Bluetooth. Electric memory seats. Multi function steering wheel. Front, Rear And Reverse Camera.","Description $0 Driveaway Full Loan Available. Mint Condition C180 Coupe For Sale. Very Well Maintained And Regularly Serviced. Accident Free, STA Evaluation Welcome To Assure Condition. Trade-In And Consignment Options Available For Your Ride. Contact Us For A Viewing Appointment Today!","This car comes with 6-mth Sgcarmart Warranty, the best protection for your car.Ask the dealer to activate the warranty to start the coverage.$0 Repair BillsComprehensive Vehicle Inspection","PARF Car, Premium Ad Car, Sgcarmart Warranty Cars",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
18,"$60,000","$15,530",26-Mar-2016,"120,000 km (17.1k /yr)",$744 /yr,"$31,671","$47,604","1,600 cc","1,630 kg",2016,Auto,"$24,809","$26,733",125.0 kW (167 bhp),1,Stationwagon,"Features 1.6L Turbocharged 4 Cylinder Boxter Engine, S-I Drive, AWD System, 100% Built In Japan Coupled With CVT Gearbox. View specs of the Subaru Levorg (2015-2020)","Accessories Upgraded touchscreen android system with GPS and reverse cam, driver electric seat, Sunroof, heater/cooling seats and STI stitching leather.","Description Fulgent motors, your reliable automotive stakeholders since 1996! 1 owner till date Levorg which not only has a low mileage but is also fully maintained including repairs and serviced done by agent (motor image) since day one with receipts to prove! Comes with 1 year road tax & new radiator! Don't miss this one in a million chance! Loan/trade-in available, call to scrutinize.",CategoryPARF Car,StatusAvailable for sale. Shortlist this car to get alerted whenever the price or availability changes.,ResourcesSgcarmart Used Car WarrantyGet $0 future car repair bill. Ask your dealer for a warranty on this car. Learn moreCar Valuation - FreeFind out the market value of your existing car for free. Get startedVehicle EvaluationAfraid of lemons? Request to have this car evaluated professionally. Find out more
19,"$89,200","$15,610",27-Apr-2018,"75,000 km (15.3k /yr)","$1,210 /yr","$33,672","$37,605","1,998 cc","1,480 kg",2018,Auto,"$19,359","$19,359",110.0 kW (147 bhp),2,SUV,"Features 2.0L 4 Cylinder 16 Valve MIVEC Engine, 6 speed CVT, Paddle Shifter, Cruise Control, Multi Function Steering, Keyless Entry/start. View specs of the Mitsubishi Outlander (2015-2023)","Accessories Roof rail and side steps. Camera and reverse sensor. Air blower for 2nd and 3rd row seat. Bluetooth, LED auto headlamp, fog lamp, retractable side mir","Description Pristine Showroom Condition! 1 Yr Comprehensive Warranty! $0 Drive-Away Available, Instant Same Day Loan Approval! High Trade In Valuation For Your Car!",CategoryPARF Car,StatusAvailable for sale. Shortlist this car to get alerted whenever the price or availability changes.,ResourcesSgcarmart Used Car WarrantyGet $0 future car repair bill. Ask your dealer for a warranty on this car. Learn moreVehicle EvaluationAfraid of lemons? Request to have this car evaluated professionally. Find out moreCar Valuation - FreeFind out the market value of your existing car for free. Get started
20,"$109,800","$14,580",30-Oct-2019,"29,000 km (8.5k /yr)",$624 /yr,"$41,608","$32,309","1,395 cc","1,270 kg",2019,Auto,"$25,024","$27,034",92.0 kW (123 bhp),1,Hatchback,"Features 1.4L 4 cylinder turbocharged TSI engine, 7 speed DSG transmission, producing 123Bhp, cruise control, multi function steering, keyless entry/start/stop View specs of the Volkswagen Golf (2012-2021)","Accessories Panoromic roof, 8"" infotainment with CarPlay friendly, PDC reverse camera, keyless entry/start, LED lamp, knockdown seat, blind spot monitor mirror.","Description 1 lady owner low mileage unit, maintained and warranty by agent, original paintwork, well kept interior & exterior condition, flexible loan, please call or whatsapp for viewing.","CategoryPARF Car, Low Mileage Car",StatusAvailable for sale. Shortlist this car to get alerted whenever the price or availability changes.,ResourcesSgcarmart Used Car WarrantyGet $0 future car repair bill. Ask your dealer for a warranty on this car. Learn moreVehicle EvaluationAfraid of lemons? Request to have this car evaluated professionally. Find out moreCar Valuation - FreeFind out the market value of your existing car for free. Get started
21,"$127,800","$33,360",27-Apr-2016,"73,292 km (10.6k /yr)","$1,792 /yr","$47,429","$49,602","2,493 cc","2,030 kg",2015,Auto,"$40,988","$49,384",134.0 kW (179 bhp),5,MPV,"Features Powered By A Responsive 2.5A, 4 Cylinders Inline 16 Valve DOHC Chain Drive With Dual VVT-I Multi Function Steering, ABS, Airbags, Cruise Control.","Accessories Ventilated Pilot/captain Seats, Moonroof, Keyless Entry/start, Dual Power Sliding Doors, Ambient Lighting, Reverse Sensors/camera, Rear Mirror Monitor","Description Original Pristine Inside Condition, Low Mileage, Highest Specs G-edition 7 Seater, Accident Free, Super Roomy And Comfortable For The Whole Family. CFO Company Mana gement Unit.","CategoryPARF Car, Direct Owner Sale",StatusAvailable for sale. Shortlist this car to get alerted whenever the price or availability changes.,ResourcesCar Valuation - FreeFind out the market value of your existing car for free. Get startedVehicle EvaluationAfraid of lemons? Request to have this car evaluated professionally. Find out more
22,"$218,000","$20,280",28-Nov-2022,"2,000 km",$684 /yr,"$120,169","$90,589","1,499 cc","1,500 kg",2022,Auto,"$36,604","$43,246",90.0 kW (120 bhp),1,SUV,"Features 1.5L 3-cylinder in-line TwinPower Turbocharged engine churning 122bhp & 230Nm torque, paired with 7-Speed (A) DCT Transmission & FWD, FC at 14.7km/L","Accessories 17"" M-Sport Rim, M-Sport full kit with M Steering, keyless go, iDrive W/ BT/Navi/Apple Carplay & Screen Mirror, reverse cam & sensors,dual climatic ac","Description $0 Drive-away, full-loan available. 1 owner, ultra low mileage, M-Sport variant PML unit with 5 years warranty & servicing (BSI+). Latest model clad in a stunning Sanremo Green metallic paintwork with black leather interior and driver/front passenger bucket seats. As good as new, without the price tag of one! Trade-in/consignment available. Contact us for a viewing appointment today!","CategoryPARF Car, Almost New Car, Premium Ad Car, Low Mileage Car",StatusAvailable for sale. Shortlist this car to get alerted whenever the price or availability changes.,ResourcesSgcarmart Used Car WarrantyGet $0 future car repair bill. Ask your dealer for a warranty on this car. Learn moreVehicle EvaluationAfraid of lemons? Request to have this car evaluated professionally. Find out moreCar Valuation - FreeFind out the market value of your existing car for free. Get started
23,"$79,800","$13,840",09-Mar-2018,"65,950 km (13.1k /yr)",$742 /yr,"$35,492","$40,000","1,598 cc","1,230 kg",2017,Auto,"$21,690","$22,366",96.0 kW (128 bhp),2,Mid-Sized Sedan,"Features 4 Cylinder In-line 16 Valve DOHC Dual VVT-i Valvematic, 7 Speed (A) Super CVT-i With Sequential Transmission, Ventilated Disc Front Disc Brake, 16km/l View specs of the Toyota Corolla","Accessories Keyless Entry, Keyless Engine Start, Reverse Camera, Bluetooth, Driver's Electric Seat, Rear Parking Sensors, Electric Folding Side Mirrors.",Description $0 Downpayment! Lowest Interest Rate! Agent Maintained Since Day One! 100% Loan Available With Immediate Approval. High Value For Your Car Trade In. Call Us For A Discussion Now!,CategoryPARF Car,StatusAvailable for sale. Shortlist this car to get alerted whenever the price or availability changes.,ResourcesSgcarmart Used Car WarrantyGet $0 future car repair bill. Ask your dealer for a warranty on this car. Learn moreVehicle EvaluationAfraid of lemons? Request to have this car evaluated professionally. Find out moreCar Valuation - FreeFind out the market value of your existing car for free. Get started
24,"$108,800","$10,870",21-Aug-2013,"117,000 km (12.2k /yr)",$508 /yr,N.A.,N.A.,"1,197 cc","1,222 kg",2013,Auto,"$20,745","$11,043",77.0 kW (103 bhp),2,Hatchback,"Features VW powerful & responsive 1.2L, 4 cylinder inline TSI engine producing 103bhp, 7 speed (A) DSG transmission, FWD, 10.9s (0-100 km/h), fc at 14.1 km/l. View specs of the Volkswagen Jetta (2011-2017)","Accessories LED daytime running lights, fog lights, oil temperatue, timer and turbo pressure meters, Sunroof, multi function steering wheel, multi zone aircon","Description $0 driveaway full loan available. Bavarian marques presents the iconic VW beetle, inspired by Volkswagen's 1st mass production of the ""people's car"", VW type 1 ""bug"". Powerful, responsive, sporty yet fuel saving. A fun hatch & an eye catcher now made affordable with extended COE. Well maintained. Low Mileage! Purchase w/o COE available. Consignment/trade in welcome. View today at our showroom.","This car comes with 6-mth Sgcarmart Warranty, the best protection for your car.Ask the dealer to activate the warranty to start the coverage.$0 Repair BillsComprehensive Vehicle Inspection","COE Car, Premium Ad Car, Sgcarmart Warranty Cars",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
25,"$198,000","$19,780",21-Feb-2014,"113,000 km (12.4k /yr)","$2,362 /yr",N.A.,N.A.,"2,979 cc","1,750 kg",2013,Auto,"$66,994","$92,590",225.0 kW (301 bhp),5,Sports Car,"Features BMW 3.0L inline 6 N55 twinscroll turbo engine with 8 speed DCT transmission, engine stage 2+ tuned with BM3, gearbox stage 3 XHP tuned, turbo stage 1. View specs of the BMW 435i","Accessories Full M4 kit with CF bonnet, rear diffuser & side skirts, dual CF spoiler, upgraded air intakes & intercooler, ksport cannister coilovers, HUD & more.","Description $0 driveaway full loan available. Probably the meanest, tastefully done 435i convertible with lots of upgrades. No messy mods, fully street legal and LTA compliant, all original parts and original bodykit to go along with. No leaks nor mishaps. Trade in and consignment welcome. Viewing available daily in our showroom. Call us today!","This car comes with 6-mth Sgcarmart Warranty, the best protection for your car.Ask the dealer to activate the warranty to start the coverage.$0 Repair BillsComprehensive Vehicle Inspection","COE Car, Premium Ad Car, Sgcarmart Warranty Cars",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
